# OpenSignals Text File Format. Version 1
# {"00:07:80:0F:2F:AD": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:0F:2F:AD", "device connection": "BTH00:07:80:0F:2F:AD", "sampling rate": 1000, "resolution": [16, 16, 16], "firmware version": 775, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2021-10-20", "time": "13:7:16.751", "channels": [1, 2, 3], "sensor": ["XYZ", "XYZ", "XYZ"], "label": ["CH1", "CH2", "CH3"], "column": ["nSeq", "DI", "CH1", "CH2", "CH3"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["white", "white", "white"], "convertedValues": 0}}
# EndOfHeader
0	0	33224	32628	38424	
1	0	33212	32616	38448	
2	0	33212	32610	38452	
3	0	33224	32592	38456	
4	0	33228	32596	38444	
5	0	33224	32612	38428	
6	0	33220	32612	38436	
7	0	33228	32612	38420	
8	0	33240	32624	38420	
9	0	33240	32620	38436	
10	0	33240	32620	38440	
11	0	33232	32624	38440	
12	0	33240	32624	38424	
13	0	33248	32636	38420	
14	0	33234	32648	38440	
15	0	33256	32645	38436	
16	0	33256	32652	38420	
17	0	33244	32668	38420	
18	0	33240	32666	38388	
19	0	33252	32664	38404	
20	0	33236	32668	38404	
21	0	33242	32644	38404	
22	0	33232	32648	38404	
23	0	33236	32644	38388	
24	0	33224	32636	38388	
25	0	33228	32660	38404	
26	0	33232	32664	38392	
27	0	33232	32660	38392	
28	0	33236	32668	38380	
29	0	33224	32684	38388	
30	0	33234	32676	38400	
31	0	33240	32672	38408	
32	0	33232	32680	38420	
33	0	33240	32656	38420	
34	0	33232	32664	38432	
35	0	33228	32668	38440	
36	0	33244	32660	38452	
37	0	33248	32660	38440	
38	0	33248	32656	38440	
39	0	33232	32640	38452	
40	0	33244	32640	38452	
41	0	33232	32636	38468	
42	0	33228	32632	38452	
43	0	33232	32632	38428	
44	0	33232	32644	38452	
45	0	33236	32644	38492	
46	0	33236	32640	38500	
47	0	33228	32648	38504	
48	0	33228	32636	38520	
49	0	33224	32656	38512	
50	0	33240	32648	38504	
51	0	33228	32648	38488	
52	0	33228	32644	38496	
53	0	33220	32652	38496	
54	0	33248	32656	38512	
55	0	33240	32656	38520	
56	0	33232	32668	38500	
57	0	33236	32680	38504	
58	0	33224	32660	38496	
59	0	33252	32648	38472	
60	0	33256	32652	38472	
